"name_el","OGC_FID","WKT_GEOMETRY","id","name","x","y","cat","url"
"Χριστός Μεταμόρφωση","255","POINT (25.458422251832872 37.066242132807794)","254","Xristos Metamorfosh","                      629506.880","                     4102927.150","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/xristos_metamorfosh.htm"
"Άγιος Ιωάννης Σπεδού","256","POINT (25.487759019208724 36.968948337440985)","255","Ag Ioannhs Spedo","                      632283.910","                     4092173.370","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/ioannhs_spedo.htm"
"Άγιος Ισίδωρος Ατσιπάπι","257","POINT (25.563250303708326 37.113592178407174)","256","Ag Isidoros Atsipapi","                      638740.450","                     4108328.640","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/isidoros_atsipapi.htm"
"Αγία Θέκλα Δαμαλά","258","POINT (25.467212787591286 37.048880997645739)","257","Ag Thekla Damalas","                      630318.150","                     4101013.050","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/thekla_damalas.htm"
"Άγιος Κήρυκος ","259","POINT (25.44043035829657 37.067035356887281)","258","Ag Khrykos","                      627905.940","                     4102990.760","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/khrykos_potamia.htm"
"Άγιος Κωνσταντίνος","260","POINT (25.396162433488968 37.045336012559602)","259","Ag Konstantinos","                      624005.620","                     4100524.620","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/konstantinos_orkos.htm"
"Αγία Κυριακή Καλονή","261","POINT (25.54354827991688 37.09382885346453)","260","Ag Kyriakh Kalonh","                      637025.510","                     4106107.320","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/kyriakh_apeiranthos_kalon"
"Αγία Κυριακή Ποταμιάς","262","POINT (25.446177397778794 37.068988138299268)","261","Ag Kyriakh Potamia","                      628413.590","                     4103215.170","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/kyriakh_potamia.htm"
"Άγιος Μάμας Απειράνθου","263","POINT (25.547359737299136 37.084044214217407)","262","Ag Mamas Apeirant","                      637381.940","                     4105027.260","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/mamas_apeiranthos.htm"
"Άγιος Μάμας Ψιλής Άμμου","264","POINT (25.563587814805757 37.024826596888751)","263","Ag Mamas Psili Ammos","                      638932.470","                     4098480.910","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/mamas_plili_ammos.htm"
